date,campaign_name,adset_name,ad_name,spend,impressions,reach,clicks,ctr,inline_link_click_ctr,cpm,installs,video_3s,cost_per_install,quality_ranking,engagement_rate_ranking,conversion_rate_ranking,currency
2026-07-08,Say_Global_Auto_Install_080726_All_Creative,Say_Global_Auto_Install_080726_All_Creative,Say_Global_Auto_Install_080726_All_Creative_SAYA_S5_UGC_H1_US_META_clean,80665,7426,5557,133,1.791005,1.817937,10862.5101,48,118,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-09,Say_Global_Auto_Install_080726_All,Say_Global_Auto_Install_080726_All,Say_Global_Auto_Install_080726_All_SAYA_S7_SKIT_H1_US_META_clean,87207,9006,7598,127,1.410171,1.365756,9683.211193,35,1737,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-09,Say_Global_Auto_Install_080726_All,Say_Global_Auto_Install_080726_All,Say_Global_Auto_Install_080726_All_SAYA_S7_SKIT_H2_US_META_clean,77974,12567,11264,114,0.907138,0.970797,6204.663006,37,1659,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-09,Say_Global_Auto_Install_080726_All,Say_Global_Auto_Install_080726_All,Say_Global_Auto_Install_080726_All_SAYA_S3_UGC_H1_US_META_clean,35294,3682,3361,55,1.493753,1.493753,9585.551331,9,427,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-09,Say_US_Auto_Install_080726_All,Say_US_Auto_Install_080726_All,Say_US_Auto_Install_080726_All_SAYA_S3_UGC_H1_US_META_clean,67186,141,117,8,5.673759,4.964539,476496.453901,1,25,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-09,Say_US_Auto_Install_080726_All,Say_US_Auto_Install_080726_All,Say_US_Auto_Install_080726_All_SAYA_S7_SKIT_H1_US_META_clean,128223,346,277,10,2.890173,2.890173,370586.705202,2,58,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-09,Say_Global_Auto_Install_080726_All_Creative,Say_Global_Auto_Install_080726_All_Creative,Say_Global_Auto_Install_080726_All_Creative_SAYA_S3_UGC_H1_US_TIKTOK_clean,160000,17900,15372,215,1.201117,1.145251,8938.547486,92,3523,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-09,Say_Global_Auto_Install_080726_All_Creative,Say_Global_Auto_Install_080726_All_Creative,Say_Global_Auto_Install_080726_All_Creative_SAYA_S7_SKIT_H1_DE_META_clean,0,0,0,0,,,,2,,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-09,Say_Global_Auto_Install_080726_All_Creative,Say_Global_Auto_Install_080726_All_Creative,Say_Global_Auto_Install_080726_All_Creative_SAYA_S8_UGC_H1_IT_META_clean,0,0,0,0,,,,1,,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-09,Say_Global_Auto_Install_080726_All_Creative,Say_Global_Auto_Install_080726_All_Creative,Say_Global_Auto_Install_080726_All_Creative_SAYA_S5_UGC_H1_US_META_clean,294207,35452,25583,498,1.404716,1.413178,8298.741961,176,149,,UNKNOWN,UNKNOWN,UNKNOWN,VND
