date,campaign_name,country,spend,impressions,clicks,installs,currency
2026-07-05,Say_Global_Auto_Install_050726_All,CY,64,3,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,CD,2285,183,1,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,DJ,48,5,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,DO,368,9,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,EC,32,1,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,EG,10474,365,11,4,VND
2026-07-05,Say_Global_Auto_Install_050726_All,SV,118,5,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,GQ,33,8,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,ER,158,21,1,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,ET,23086,2574,22,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,FM,99,5,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,FJ,1300,62,1,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,GA,4,3,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,GM,344,36,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,GE,78,2,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,GH,1506,53,3,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,GD,48,2,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,GT,209,7,2,1,VND
2026-07-05,Say_Global_Auto_Install_050726_All,GN,1574,161,2,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,GW,92,19,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,GY,199,9,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,HT,1014,68,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,HN,171,3,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,IN,50596,5201,77,30,VND
2026-07-05,Say_Global_Auto_Install_050726_All,ID,2035,82,4,1,VND
2026-07-05,Say_Global_Auto_Install_050726_All,IQ,6661,391,9,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,CI,2395,48,4,,VND
