date,campaign_name,adset_name,ad_name,spend,impressions,reach,clicks,ctr,inline_link_click_ctr,cpm,installs,video_3s,cost_per_install,quality_ranking,engagement_rate_ranking,conversion_rate_ranking
2026-06-27,Cardia_US_Broad_Install_Volume_250626,Cardia_US_Broad_Install_Volume_260626_1844_All,Cardia_US_Broad_Install_Volume_260626_1844_All_CAR_A1_UGC_H1_US_clean,26342,43,36,3,6.976744,6.976744,612604.651163,,12,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-27,Cardia_US_Broad_Install_Volume_250626,Cardia_US_Broad_Install_Volume_260626_1844_All,Cardia_US_Broad_Install_Volume_260626_1844_All_CAR_A4_UGC_H1_US_clean,127050,144,139,4,2.777778,2.083333,882291.666667,3,40,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-27,Cardia_US_Broad_Install_Volume_250626,Cardia_US_Broad_Install_Volume_260626_1844_All,Cardia_US_Broad_Install_Volume_260626_1844_All_CAR_A2_UGC_H1_US_clean,4944,14,14,0,0,,353142.857143,,5,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-27,Cardia_US_Broad_Install_Volume_250626,Cardia_US_Broad_Install_Volume_260626_1844_All,Cardia_US_Broad_Install_Volume_260626_1844_All_CAR_A4_UGC_H2_US_clean,16626,39,33,1,2.564103,2.564103,426307.692308,,3,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-27,Cardia_Value_US_260626_Install,Cardia_Value_US_SouthUS_260626_Install_W_45,Cardia_Value_US_SouthUS_260626_Install_W_45_CAR_A1_UGC_H1_US_clean,3900,124,118,1,0.806452,0.806452,31451.612903,,24,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-27,Cardia_Value_US_260626_Install,Cardia_Value_US_SouthUS_260626_Install_W_45,Cardia_Value_US_260626_Install_W_45_CAR_A1_UGC_H1_US_clean - Copy,93436,1684,1299,173,10.273159,11.401425,55484.56057,18,101,,BELOW_AVERAGE_20,AVERAGE,AVERAGE
2026-06-27,Cardia_Value_US_260626_Install,Cardia_Value_US_SouthUS_260626_Install_M_45,Cardia_Value_US_SouthUS_260626_Install_M_45_CAR_A4_UGC_H1_US_clean,139972,2909,2254,209,7.1846,8.044001,48116.878652,12,478,,BELOW_AVERAGE_20,AVERAGE,AVERAGE
2026-06-27,Cardia_Value_US_260626_Install,Cardia_Value_US_SouthUS_260626_Install_M_45,Cardia_Value_US_260626_Install_W_45_CAR_A1_UGC_H1_US_clean - Copy,153452,2702,1970,255,9.437454,10.436714,56792.005922,16,213,,BELOW_AVERAGE_20,AVERAGE,AVERAGE
2026-06-27,Cardia_Global_Value_Install_260626_All,Cardia_Global_Value_Install_260626_All,Cardia_Adr_Global_Value_Install_240626_All_Creative01,138952,5367,4102,305,5.682877,6.074157,25890.06894,73,52,,BELOW_AVERAGE_20,AVERAGE,AVERAGE
2026-06-27,Cardia_Global_Value_Install_260626_All,Cardia_Global_Value_Install_260626_All,Cardia_Adr_Global_Value_Install_240626_All_CAR_A1_UGC_H1_US_clean,50927,1508,1290,124,8.222812,8.885942,33771.220159,15,30,,BELOW_AVERAGE_20,AVERAGE,AVERAGE
2026-06-27,Cardia_Global_Value_Install_260626_All,Cardia_Global_Value_Install_260626_All,Cardia_Adr_Global_Value_Install_240626_All_CAR_A4_UGC_H2_US_clean,27810,1104,987,60,5.434783,5.615942,25190.217391,14,62,,BELOW_AVERAGE_35,AVERAGE,AVERAGE
2026-06-27,Cardia_Global_Value_Install_260626_All,Cardia_Global_Value_Install_260626_All,Cardia_Adr_Global_Value_Install_240626_All_CAR_A4_UGC_H1_US_clean,34552,2412,2033,61,2.529022,2.694859,14325.041459,13,166,,BELOW_AVERAGE_35,AVERAGE,ABOVE_AVERAGE
2026-06-27,Cardia_Global_Value_Install_260626_All,Cardia_Global_Value_Install_260626_All,Cardia_Adr_Global_Value_Install_240626_All_CAR_A2_UGC_H1_US_clean,17432,870,786,42,4.827586,5.172414,20036.781609,5,45,,BELOW_AVERAGE_20,AVERAGE,AVERAGE
2026-06-27,Cardia_Global_Value_Install_260626_All,Cardia_Global_Value_Install_260626_All,Cardia_Adr_Global_Value_Install_240626_All_CAR_A6_UGC_H1_EN_202606221143_clean,80392,3734,3379,115,3.079807,3.267274,21529.726834,45,1367,,BELOW_AVERAGE_20,AVERAGE,AVERAGE
2026-06-27,Cardia_Global_Value_Install_260626_All,Cardia_Global_Value_Install_260626_All,Cardia_Adr_Global_Value_Install_240626_All_CAR_A6_UGC_H2_EN_202606221322_clean,239091,13022,11405,265,2.035018,2.11949,18360.543695,130,4766,,BELOW_AVERAGE_35,AVERAGE,AVERAGE
2026-06-28,Cardia_Adr_India_Install_Cpi_21062026,Cardia_Adr_India_Install_Cpi_21062026_M,Cardia_Adr_India_Install_Cpi_2162026_M_NewCreative,342143,18533,14494,575,3.102574,3.237468,18461.285275,98,9456,,AVERAGE,AVERAGE,AVERAGE
2026-06-28,Cardia_Adr_India_Install_Roas_230626,Cardia_Adr_India_Install_Roas_230626_W_City,Cardia_Adr_India_Install_Roas_230626_CAR_A2_UGC_H1_EN_202606221042_clean,1565,83,69,2,2.409639,2.409639,18855.421687,2,33,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Adr_India_Install_Roas_230626,Cardia_Adr_India_Install_Roas_230626_W_City,A/B-Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H2_EN_202606221322_clean,8734,568,512,12,2.112676,2.112676,15376.760563,,42,,AVERAGE,AVERAGE,AVERAGE
2026-06-28,Cardia_Adr_India_Install_Roas_230626,Cardia_Adr_India_Install_Roas_230626_W_City,A/B-Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H2_EN_202606221322_clean - Copy,8550,499,418,23,4.609218,5.01002,17134.268537,6,63,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Adr_India_Install_Bidding_230626_Normal,Cardia_Adr_India_Install_Bidding_230626_All_Normal,Cardia_Adr_India_Install_Bidding_230626_All_Normal_CreativeD_CAR_A6_UGC_H1_EN_202606221143_clean,1579,92,76,3,3.26087,3.26087,17163.043478,1,32,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Adr_India_Install_Bidding_230626_Normal,Cardia_Adr_India_Install_Bidding_230626_All_Normal,Cardia_Adr_India_Install_Bidding_230626_All_Normal_CreativeC_CAR_A4_UGC_H1_EN_202606221659_clean,9,1,1,0,0,,9000,,1,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Adr_India_Install_Roas_230626,Cardia_Adr_India_Install_Roas_230626_M_City,Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H1_EN_202606221143_clean,95365,7109,5304,335,4.712336,5.134337,13414.68561,28,682,,AVERAGE,AVERAGE,AVERAGE
